,external_temperature,timestamp
0,3.4,2013-01-01 00:00:00+00:00
1,3.5,2013-01-01 00:10:00+00:00
2,3.6,2013-01-01 00:20:00+00:00
3,3.7,2013-01-01 00:30:00+00:00
4,3.8,2013-01-01 00:40:00+00:00
5,3.9,2013-01-01 00:50:00+00:00
6,3.8,2013-01-01 01:00:00+00:00
7,3.7,2013-01-01 01:10:00+00:00
8,3.6,2013-01-01 01:20:00+00:00
9,3.5,2013-01-01 01:30:00+00:00
10,3.4,2013-01-01 01:40:00+00:00
11,3.3,2013-01-01 01:50:00+00:00
12,3.4,2013-01-01 02:00:00+00:00
13,3.5,2013-01-01 02:10:00+00:00
14,3.6,2013-01-01 02:20:00+00:00
15,3.7,2013-01-01 02:30:00+00:00
16,3.8,2013-01-01 02:40:00+00:00
17,3.9,2013-01-01 02:50:00+00:00
18,3.9,2013-01-01 03:00:00+00:00
19,3.9,2013-01-01 03:10:00+00:00
20,3.9,2013-01-01 03:20:00+00:00
21,3.9,2013-01-01 03:30:00+00:00
22,3.9,2013-01-01 03:40:00+00:00
23,3.9,2013-01-01 03:50:00+00:00
24,3.9,2013-01-01 04:00:00+00:00
25,3.9,2013-01-01 04:10:00+00:00
26,3.9,2013-01-01 04:20:00+00:00
27,3.9,2013-01-01 04:30:00+00:00
28,3.9,2013-01-01 04:40:00+00:00
29,3.9,2013-01-01 04:50:00+00:00
30,3.9,2013-01-01 05:00:00+00:00
31,3.9,2013-01-01 05:10:00+00:00
32,3.9,2013-01-01 05:20:00+00:00
33,3.9,2013-01-01 05:30:00+00:00
34,3.9,2013-01-01 05:40:00+00:00
35,3.9,2013-01-01 05:50:00+00:00
36,3.9,2013-01-01 06:00:00+00:00
37,3.9,2013-01-01 06:10:00+00:00
38,3.9,2013-01-01 06:20:00+00:00
39,3.9,2013-01-01 06:30:00+00:00
40,3.9,2013-01-01 06:40:00+00:00
41,3.9,2013-01-01 06:50:00+00:00
42,3.8,2013-01-01 07:00:00+00:00
43,3.7,2013-01-01 07:10:00+00:00
44,3.6,2013-01-01 07:20:00+00:00
45,3.5,2013-01-01 07:30:00+00:00
46,3.4,2013-01-01 07:40:00+00:00
47,3.3,2013-01-01 07:50:00+00:00
48,3.4,2013-01-01 08:00:00+00:00
49,3.5,2013-01-01 08:10:00+00:00
50,3.6,2013-01-01 08:20:00+00:00
51,3.7,2013-01-01 08:30:00+00:00
52,3.8,2013-01-01 08:40:00+00:00
53,3.9,2013-01-01 08:50:00+00:00
54,3.9,2013-01-01 09:00:00+00:00
55,3.9,2013-01-01 09:10:00+00:00
56,3.9,2013-01-01 09:20:00+00:00
57,3.9,2013-01-01 09:30:00+00:00
58,3.9,2013-01-01 09:40:00+00:00
59,3.9,2013-01-01 09:50:00+00:00
60,3.9,2013-01-01 10:00:00+00:00
61,3.9,2013-01-01 10:10:00+00:00
62,3.9,2013-01-01 10:20:00+00:00
63,3.9,2013-01-01 10:30:00+00:00
64,3.9,2013-01-01 10:40:00+00:00
65,3.9,2013-01-01 10:50:00+00:00
66,3.9,2013-01-01 11:00:00+00:00
67,3.9,2013-01-01 11:10:00+00:00
68,3.9,2013-01-01 11:20:00+00:00
69,3.9,2013-01-01 11:30:00+00:00
70,3.9,2013-01-01 11:40:00+00:00
71,3.9,2013-01-01 11:50:00+00:00
72,3.7,2013-01-01 12:00:00+00:00
73,3.6,2013-01-01 12:10:00+00:00
74,3.4,2013-01-01 12:20:00+00:00
75,3.2,2013-01-01 12:30:00+00:00
76,3.0,2013-01-01 12:40:00+00:00
77,2.8,2013-01-01 12:50:00+00:00
78,2.8,2013-01-01 13:00:00+00:00
79,2.8,2013-01-01 13:10:00+00:00
80,2.8,2013-01-01 13:20:00+00:00
81,2.8,2013-01-01 13:30:00+00:00
82,2.8,2013-01-01 13:40:00+00:00
83,2.8,2013-01-01 13:50:00+00:00
84,2.9,2013-01-01 14:00:00+00:00
85,3.0,2013-01-01 14:10:00+00:00
86,3.0,2013-01-01 14:20:00+00:00
87,3.1,2013-01-01 14:30:00+00:00
88,3.2,2013-01-01 14:40:00+00:00
89,3.3,2013-01-01 14:50:00+00:00
90,3.3,2013-01-01 15:00:00+00:00
91,3.3,2013-01-01 15:10:00+00:00
92,3.3,2013-01-01 15:20:00+00:00
93,3.3,2013-01-01 15:30:00+00:00
94,3.3,2013-01-01 15:40:00+00:00
95,3.3,2013-01-01 15:50:00+00:00
96,3.1,2013-01-01 16:00:00+00:00
97,3.0,2013-01-01 16:10:00+00:00
98,2.8,2013-01-01 16:20:00+00:00
99,2.6,2013-01-01 16:30:00+00:00
100,2.4,2013-01-01 16:40:00+00:00
101,2.2,2013-01-01 16:50:00+00:00
102,2.1,2013-01-01 17:00:00+00:00
103,2.0,2013-01-01 17:10:00+00:00
104,2.0,2013-01-01 17:20:00+00:00
105,1.9,2013-01-01 17:30:00+00:00
106,1.8,2013-01-01 17:40:00+00:00
107,1.7,2013-01-01 17:50:00+00:00
108,1.5,2013-01-01 18:00:00+00:00
109,1.4,2013-01-01 18:10:00+00:00
110,1.2,2013-01-01 18:20:00+00:00
111,1.0,2013-01-01 18:30:00+00:00
112,0.8,2013-01-01 18:40:00+00:00
113,0.6,2013-01-01 18:50:00+00:00
114,0.5,2013-01-01 19:00:00+00:00
115,0.4,2013-01-01 19:10:00+00:00
116,0.3,2013-01-01 19:20:00+00:00
117,0.2,2013-01-01 19:30:00+00:00
118,0.1,2013-01-01 19:40:00+00:00
119,0.0,2013-01-01 19:50:00+00:00
120,-0.2,2013-01-01 20:00:00+00:00
121,-0.3,2013-01-01 20:10:00+00:00
122,-0.5,2013-01-01 20:20:00+00:00
123,-0.7,2013-01-01 20:30:00+00:00
124,-0.9,2013-01-01 20:40:00+00:00
125,-1.1,2013-01-01 20:50:00+00:00
126,-1.2,2013-01-01 21:00:00+00:00
127,-1.3,2013-01-01 21:10:00+00:00
128,-1.4,2013-01-01 21:20:00+00:00
129,-1.5,2013-01-01 21:30:00+00:00
130,-1.6,2013-01-01 21:40:00+00:00
131,-1.7,2013-01-01 21:50:00+00:00
132,-1.9,2013-01-01 22:00:00+00:00
133,-2.0,2013-01-01 22:10:00+00:00
134,-2.2,2013-01-01 22:20:00+00:00
135,-2.4,2013-01-01 22:30:00+00:00
136,-2.6,2013-01-01 22:40:00+00:00
137,-2.8,2013-01-01 22:50:00+00:00
138,-2.9,2013-01-01 23:00:00+00:00
139,-3.0,2013-01-01 23:10:00+00:00
140,-3.0,2013-01-01 23:20:00+00:00
141,-3.1,2013-01-01 23:30:00+00:00
142,-3.2,2013-01-01 23:40:00+00:00
143,-3.3,2013-01-01 23:50:00+00:00
144,-3.4,2013-01-02 00:00:00+00:00
145,-3.5,2013-01-02 00:10:00+00:00
146,-3.6,2013-01-02 00:20:00+00:00
147,-3.7,2013-01-02 00:30:00+00:00
148,-3.8,2013-01-02 00:40:00+00:00
149,-3.9,2013-01-02 00:50:00+00:00
150,-3.8,2013-01-02 01:00:00+00:00
151,-3.7,2013-01-02 01:10:00+00:00
152,-3.6,2013-01-02 01:20:00+00:00
153,-3.5,2013-01-02 01:30:00+00:00
154,-3.4,2013-01-02 01:40:00+00:00
155,-3.3,2013-01-02 01:50:00+00:00
156,-3.5,2013-01-02 02:00:00+00:00
157,-3.6,2013-01-02 02:10:00+00:00
158,-3.8,2013-01-02 02:20:00+00:00
159,-4.0,2013-01-02 02:30:00+00:00
160,-4.2,2013-01-02 02:40:00+00:00
161,-4.4,2013-01-02 02:50:00+00:00
162,-4.5,2013-01-02 03:00:00+00:00
163,-4.6,2013-01-02 03:10:00+00:00
164,-4.7,2013-01-02 03:20:00+00:00
165,-4.8,2013-01-02 03:30:00+00:00
166,-4.9,2013-01-02 03:40:00+00:00
167,-5.0,2013-01-02 03:50:00+00:00
168,-5.0,2013-01-02 04:00:00+00:00
169,-5.0,2013-01-02 04:10:00+00:00
170,-5.0,2013-01-02 04:20:00+00:00
171,-5.0,2013-01-02 04:30:00+00:00
172,-5.0,2013-01-02 04:40:00+00:00
173,-5.0,2013-01-02 04:50:00+00:00
174,-5.1,2013-01-02 05:00:00+00:00
175,-5.2,2013-01-02 05:10:00+00:00
176,-5.3,2013-01-02 05:20:00+00:00
177,-5.4,2013-01-02 05:30:00+00:00
178,-5.5,2013-01-02 05:40:00+00:00
179,-5.6,2013-01-02 05:50:00+00:00
180,-5.6,2013-01-02 06:00:00+00:00
181,-5.6,2013-01-02 06:10:00+00:00
182,-5.6,2013-01-02 06:20:00+00:00
183,-5.6,2013-01-02 06:30:00+00:00
184,-5.6,2013-01-02 06:40:00+00:00
185,-5.6,2013-01-02 06:50:00+00:00
186,-5.5,2013-01-02 07:00:00+00:00
187,-5.4,2013-01-02 07:10:00+00:00
188,-5.3,2013-01-02 07:20:00+00:00
189,-5.2,2013-01-02 07:30:00+00:00
190,-5.1,2013-01-02 07:40:00+00:00
191,-5.0,2013-01-02 07:50:00+00:00
192,-4.9,2013-01-02 08:00:00+00:00
193,-4.8,2013-01-02 08:10:00+00:00
194,-4.7,2013-01-02 08:20:00+00:00
195,-4.6,2013-01-02 08:30:00+00:00
196,-4.5,2013-01-02 08:40:00+00:00
197,-4.4,2013-01-02 08:50:00+00:00
198,-4.3,2013-01-02 09:00:00+00:00
199,-4.2,2013-01-02 09:10:00+00:00
200,-4.2,2013-01-02 09:20:00+00:00
201,-4.1,2013-01-02 09:30:00+00:00
202,-4.0,2013-01-02 09:40:00+00:00
203,-3.9,2013-01-02 09:50:00+00:00
204,-3.8,2013-01-02 10:00:00+00:00
205,-3.7,2013-01-02 10:10:00+00:00
206,-3.6,2013-01-02 10:20:00+00:00
207,-3.5,2013-01-02 10:30:00+00:00
208,-3.4,2013-01-02 10:40:00+00:00
209,-3.3,2013-01-02 10:50:00+00:00
210,-3.1,2013-01-02 11:00:00+00:00
211,-3.0,2013-01-02 11:10:00+00:00
212,-2.8,2013-01-02 11:20:00+00:00
213,-2.6,2013-01-02 11:30:00+00:00
214,-2.4,2013-01-02 11:40:00+00:00
215,-2.2,2013-01-02 11:50:00+00:00
216,-1.7,2013-01-02 12:00:00+00:00
217,-1.7,2013-01-02 12:10:00+00:00
218,-1.6,2013-01-02 12:20:00+00:00
219,-1.4,2013-01-02 12:30:00+00:00
220,-1.3,2013-01-02 12:40:00+00:00
221,-1.1,2013-01-02 12:50:00+00:00
222,-1.0,2013-01-02 13:00:00+00:00
223,-0.9,2013-01-02 13:10:00+00:00
224,-0.9,2013-01-02 13:20:00+00:00
225,-0.8,2013-01-02 13:30:00+00:00
226,-0.7,2013-01-02 13:40:00+00:00
227,-0.6,2013-01-02 13:50:00+00:00
228,-0.5,2013-01-02 14:00:00+00:00
229,-0.4,2013-01-02 14:10:00+00:00
230,-0.3,2013-01-02 14:20:00+00:00
231,-0.2,2013-01-02 14:30:00+00:00
232,-0.1,2013-01-02 14:40:00+00:00
233,-0.0,2013-01-02 14:50:00+00:00
234,-0.1,2013-01-02 15:00:00+00:00
235,-0.2,2013-01-02 15:10:00+00:00
236,-0.3,2013-01-02 15:20:00+00:00
237,-0.4,2013-01-02 15:30:00+00:00
238,-0.5,2013-01-02 15:40:00+00:00
239,-0.6,2013-01-02 15:50:00+00:00
240,-0.6,2013-01-02 16:00:00+00:00
241,-0.6,2013-01-02 16:10:00+00:00
242,-0.6,2013-01-02 16:20:00+00:00
243,-0.6,2013-01-02 16:30:00+00:00
244,-0.6,2013-01-02 16:40:00+00:00
245,-0.6,2013-01-02 16:50:00+00:00
246,-0.6,2013-01-02 17:00:00+00:00
247,-0.6,2013-01-02 17:10:00+00:00
248,-0.6,2013-01-02 17:20:00+00:00
249,-0.6,2013-01-02 17:30:00+00:00
250,-0.6,2013-01-02 17:40:00+00:00
251,-0.6,2013-01-02 17:50:00+00:00
252,-0.7,2013-01-02 18:00:00+00:00
253,-0.8,2013-01-02 18:10:00+00:00
254,-0.8,2013-01-02 18:20:00+00:00
255,-0.9,2013-01-02 18:30:00+00:00
256,-1.0,2013-01-02 18:40:00+00:00
257,-1.1,2013-01-02 18:50:00+00:00
258,-1.1,2013-01-02 19:00:00+00:00
259,-1.1,2013-01-02 19:10:00+00:00
260,-1.1,2013-01-02 19:20:00+00:00
261,-1.1,2013-01-02 19:30:00+00:00
262,-1.1,2013-01-02 19:40:00+00:00
263,-1.1,2013-01-02 19:50:00+00:00
264,-1.1,2013-01-02 20:00:00+00:00
265,-1.1,2013-01-02 20:10:00+00:00
266,-1.1,2013-01-02 20:20:00+00:00
267,-1.1,2013-01-02 20:30:00+00:00
268,-1.1,2013-01-02 20:40:00+00:00
269,-1.1,2013-01-02 20:50:00+00:00
270,-1.1,2013-01-02 21:00:00+00:00
271,-1.1,2013-01-02 21:10:00+00:00
272,-1.1,2013-01-02 21:20:00+00:00
273,-1.1,2013-01-02 21:30:00+00:00
274,-1.1,2013-01-02 21:40:00+00:00
275,-1.1,2013-01-02 21:50:00+00:00
276,-1.1,2013-01-02 22:00:00+00:00
277,-1.1,2013-01-02 22:10:00+00:00
278,-1.1,2013-01-02 22:20:00+00:00
279,-1.1,2013-01-02 22:30:00+00:00
280,-1.1,2013-01-02 22:40:00+00:00
281,-1.1,2013-01-02 22:50:00+00:00
282,-1.2,2013-01-02 23:00:00+00:00
283,-1.3,2013-01-02 23:10:00+00:00
284,-1.4,2013-01-02 23:20:00+00:00
285,-1.5,2013-01-02 23:30:00+00:00
286,-1.6,2013-01-02 23:40:00+00:00
287,-1.7,2013-01-02 23:50:00+00:00
288,-1.8,2013-01-03 00:00:00+00:00
289,-1.9,2013-01-03 00:10:00+00:00
290,-1.9,2013-01-03 00:20:00+00:00
291,-2.0,2013-01-03 00:30:00+00:00
292,-2.1,2013-01-03 00:40:00+00:00
293,-2.2,2013-01-03 00:50:00+00:00
294,-2.2,2013-01-03 01:00:00+00:00
295,-2.2,2013-01-03 01:10:00+00:00
296,-2.2,2013-01-03 01:20:00+00:00
297,-2.2,2013-01-03 01:30:00+00:00
298,-2.2,2013-01-03 01:40:00+00:00
299,-2.2,2013-01-03 01:50:00+00:00
300,-2.2,2013-01-03 02:00:00+00:00
301,-2.2,2013-01-03 02:10:00+00:00
302,-2.2,2013-01-03 02:20:00+00:00
